@English@|@Karakalpak@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a big churn@|@piskek@
@a castrated camel@|@atan@
@a cold in the head@|@gezik@
@a gentle address@|@qaraq@
@a k. of grass@|@bojan, žiken@
@a k. of musical instrument@|@qobyz@
@a k. of reed@|@qoha@
@a k. of short coat@|@želbegej, želek, želeng@
@a k. of tailless sheep@|@saryq@
@a little@|@az@
@a man's wife's younger sister@|@baldyz@
@a prize in horse-race@|@bajraq@
@a well-fed early lamb@|@bahlan@
@abandon@|@qoj-@
@abhor@|@žijirken-, žijren-@
@above@|@ör, žoqary@
@absent-minded@|@alang@
@acid@|@aššy@
@add to@|@taq-@
@additionally@|@tahy@
@advice@|@kenges@
@afraid@|@ijmen-@
@after@|@song@
@again@|@žäne@
@age@|@žylqy@
@alive@|@tiri@
@all@|@barša@
@also@|@benen@
@although@|@dahy@
@an ending of the 2d person@|@-ng@
@ancestor@|@ata@
@ancient@|@eski@
@anger@|@ökpä, öš@
@angle@|@müješ@
@ankle-bone@|@tobyq@
@announcement@|@žar@
@apricot@|@erik@
@aquila fulva@|@bürkit@
@area covered with stones@|@saj@
@arm@|@qol@
@arrow@|@oq@
@artery@|@tamyr@
@ashes@|@kül@
@attention@|@qunt@
@aunt@|@apa@
@autumn@|@küz@
@aware@|@saq@
@awl@|@biz@
@axe@|@balta@
@back@|@arqa, arqa, art, keri, syrt@
@back of head@|@šüjde@
@back of horse@|@sawry@
@back of the neck@|@engse@
@bad@|@osal, žaman, žek@
@bad influence@|@saldar@
@badger@|@porsyq@
@bald@|@taz@
@ball of wool@|@žumaq@
@bandit@|@qaraqšy@
@bark@|@qabyq, qyrtys@
@barley@|@arpa@
@barn@|@telek@
@barren cow@|@qysyr@
@barren mare@|@qysyraq@
@bat@|@žar-hanat@
@be brought together@|@qawys-@
@be exhausted@|@albyra-@
@be lazy@|@žasy-@
@be on one's way@|@žiber-@
@be satisfied@|@una-@
@be similar@|@megze-@
@beads@|@monšaq@
@beard of grain@|@qylqan@
@become accustomed@|@qunyq-@
@become pale@|@ong-, öng-@
@become satiated@|@toj-@
@bed-bug@|@qandala@
@bee@|@herre@
@beetle@|@qongyz@
@beggar@|@sajyl@
@bell@|@qongraw@
@bellows@|@köräk@
@belly@|@qaryn, ši@
@belt@|@qur@
@bend@|@qajyr-@
@big@|@bijik, ülken@
@big needle@|@teben@
@big wooden vessel@|@samar@
@birch bark@|@toz@
@birch tree@|@qajyng@
@bird@|@qus@
@bird's crop@|@böteke@
@bitch@|@qanšyq@
@black@|@qara@
