@English@|@Yakut@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a cloven hoof@|@ytarcha@
@a curved knife@|@iät@
@a k. of fermented milk drink@|@küörchex@
@a k. of plant or tree@|@borü@
@a k. of salmon@|@bil@
@a kid sucking two milch-ewes@|@tïl@
@a mat@|@tel@
@a relative by marriage@|@tüngür@
@a young calf@|@torbos, torbužax@
@abhor@|@sirgen-@
@acid@|@ahý@
@action@|@üyile@
@addition@|@semse@
@additionally@|@dahany, ebï-@
@age@|@öjün, sylhy@
@all@|@bar, bary@
@also@|@-ynan@
@always@|@ürgülji@
@amble@|@is-@
@an ending of the 2d person@|@-ng@
@ancient times@|@ösük@
@and@|@ionna, itienne@
@angel@|@aanñal@
@anger@|@ös@
@angle@|@mung, mungnuk@
@animal@|@kiil, syöny, xapamai@
@ant@|@kimipdahas, kymyrdahas@
@apple@|@iabloko@
@archenemy@|@kyr (östöx)@
@archness@|@tüökej, tüökün@
@area covered with stones@|@ajän@
@arm@|@ilii, qol, xol@
@armour@|@kujax@
@arrow@|@okh, onohos@
@arrow with blunt end@|@balta, baltysax@
@arrow with iron head@|@kustuk@
@artistic@|@uran@
@Ash@|@Kül@
@ashes@|@Kül, xohoso@
@attack@|@täryj-@
@autumn@|@kühün@
@ax@|@süke@
@back@|@arhä, arha-s, kelin@
@bait@|@meng-eg@
@bark@|@qatyryk@
@barren cow@|@kytarä-@
@bat@|@sarý kynat@
@bathing@|@sötüö@
@be insufficient@|@mýn-@
@be lazy@|@syhyj-@
@be on one's way@|@ïp-@
@beard of grain@|@kylän@
@become lean@|@xomnuj-@
@become satiated@|@tot-@
@bee@|@yngyrya@
@beetle@|@xomurduos@
@beggar@|@umdachyt, umnahyt@
@bellows@|@küört@
@belly@|@xaryn@
@Belly@|@Qaryn@
@belt@|@kur@
@berry@|@ahylyk, as@
@big leather-bag@|@xähax@
@big vessel@|@sabaraj@
@birch bark@|@tuos@
@birch tree@|@xatyng@
@bird@|@kötör@
@bird's stomach@|@bötögö@
@bird-seed@|@mengiä@
@bitter@|@kuras@
@black@|@Xara@
@black currants@|@mönnohon@
@blackish piebald@|@or@
@bladder@|@xabax@
@blade@|@salbax@
@blanket@|@suorhan@
@blessing@|@alhý@
@blood@|@qan, xän@
@blue@|@küöx@
@boat@|@xajyk, yxojük@
@body@|@sïn@
@bone@|@unguox@
@border@|@kytý@
@bosom@|@xöj (xonn-)@
@bottom@|@tügex@
@bow@|@sä@
@bow string@|@kiris, kyrys@
@boy@|@urtüs@
@brain@|@mejï@
